"","Name","Mileage","Next","Open","Close","Type"
"1","Densmore Hill",7,4.5,"4:30 AM","6:00 AM","U"
"2","Dunham Hill",11.5,3.9,"5:00 AM","7:20 AM","U"
"3","Taftsville Bridge",15.4,2.2,"5:30 AM","9:00 AM","A"
"4","So. Pomfret",17.6,3.7,"6:00 AM","9:30 AM","U"
"5","Pretty House",21.3,4,"6:30 AM","10:20 AM","AHP"
"6","U-Turn",25.3,5,"7:00 AM","11:30 AM","U"
"7","Stage Rd",30.3,3.6,"7:45 AM","1:00 PM","AHP"
"8","Route 12",33.9,5.3,"8:15 AM","2:10 PM","A"
"9","Lincoln Covered Bridge",39.2,4.1,"9:00 AM","3:40 PM","A"
"10","Lillians",43.3,3.7,"9:30 AM","5:00 PM","AP"
"11","Camp 10 Bear Out",47,3.8,"10:00 AM","6:00 PM","AMHP"
"12","Pinky's",50.8,3.1,"10:30 AM","7:10 PM","A"
"13","Birminghams",53.9,4.6,"11:00 AM","8:10 PM","A"
"14","Margaritaville",58.5,3.1,"11:30 AM","9:30 PM","AHP"
"15","Puckerbrush",61.6,3,"12:00 PM","10:30 PM","AP"
"16","Brown School House",64.6,4.8,"12:30 PM","11:25 PM","A"
"17","Camp 10 Bear In",69.4,4.4,"1:00 PM","1:00 AM","AMHP"
"18","Seabrook",73.8,2.4,"1:45 PM","2:15 AM","A"
"19","Spirit of 76",76.2,4.1,"2:00 PM","3:00 AM","AHP"
"20","Goodman's",80.3,3,"2:30 PM","4:10 AM","U"
"21","Cow Shed",83.3,5,"3:00 PM","5:00 AM","A"
"22","Bill's",88.3,3.2,"3:30 PM","6:30 AM","AMHP"
"23","Keating's",91.5,3.4,"4:00 PM","7:30 AM","A"
"24","Polly's",94.9,2.6,"4:30 PM","8:40 AM","AHP"
"25","Sargent's",97.5,2.5,"4:45 PM","9:20 AM","U"
"26","Finish",100,NA,"5:00 PM","10:00 AM","AMHP"
